id,survey,interval1,interval2,interval3
crick1_05,1,1,1,1
crick1_05,3,1,0,1
his1_05,1,0,1,1
his1_05,1,1,1,1
his1_05,2,0,1,1
his1_05,2,1,0,1
his1_05,2,1,1,1
hisw1_05,2,1,1,1
hisw1_05,3,1,1,1
hisw2_05,1,1,1,1
hisw2_05,2,0,0,1
hisw2_05,3,0,1,1
kenc2_05,1,1,1,1
kenc2_05,1,1,1,1
kenc2_05,1,1,1,1
kenc2_05,2,0,1,0
kenc2_05,3,0,1,1
kence2_05,1,0,0,1
kence2_05,2,1,0,0
kence2_05,3,1,0,0
kence2_05,3,0,1,1
kense2_05,2,1,1,1
kense3_05,1,1,1,0
kense3_05,1,1,1,1
kense3_05,2,0,1,1
kense3_05,2,1,1,1
moran1_05,1,1,1,1
moran1_05,1,0,1,1
moran1_05,2,1,1,1
moran2_05,1,1,0,0
moran2_05,1,0,1,1
moran2_05,1,0,1,0
moran2_05,2,1,0,0
moran2_05,2,0,1,1
peruc1_05,1,0,1,1
peruc1_05,2,1,1,1
peruc1_05,2,1,1,1
peruc2_05,1,0,1,0
peruc2_05,1,1,1,1
peruc2_05,1,1,1,1
peruce2_05,1,1,1,1
peruce2_05,2,0,1,0
peruce3_05,1,1,1,0
peruce3_05,1,1,1,1
peruce3_05,1,1,1,1
peruce3_05,2,0,0,1
peruce3_05,3,0,1,1
perunw2_05,1,1,1,1
perunw2_05,1,1,0,0
perunw2_05,1,1,1,1
perunw2_05,2,1,1,0
perunw2_05,2,1,1,1
perunw2_05,3,1,1,1
perunw2_05,3,1,0,0
perus1_05,1,0,0,1
perus2_05,1,1,1,1
pfer1_05,1,1,1,1
pfer2_05,1,1,1,1
pfer2_05,1,1,0,1
pfer2_05,2,1,1,0
pfer2_05,3,1,0,0
pfer3_05,1,1,1,1
pfer3_05,1,1,1,1
pfer3_05,2,1,0,1
pfer3_05,3,1,1,1
pfer4_05,1,0,1,1
pfer4_05,2,1,1,0
pol2_05,1,1,1,0
pol2_05,1,1,1,1
pol2_05,2,1,1,0
pol4_05,2,1,1,0
pol4_05,2,1,1,1
pol4_05,3,1,1,1
roar1_05,1,1,1,1
roar3_05,1,1,1,1
roar3_05,2,1,0,0
savtn2_05,1,1,1,1
savtn2_05,1,1,1,1
savtn2_05,3,0,1,0
savtn3_05,1,1,0,0
savtn3_05,1,1,1,1
savtn3_05,2,1,1,1
savtn3_05,3,1,0,0
savw1_05,1,1,1,1
savw2_05,1,1,1,0
whis4_05,1,1,1,1
whis4_05,2,1,1,1
winb2_05,1,1,0,0
winb3_05,1,0,1,1
winb3_05,2,1,0,0
winern1_05,2,1,1,0
winern1_05,3,1,0,1
winern1_05,3,1,0,0
winers1_05,1,1,1,0
winers1_05,1,1,1,1
winers1_05,2,1,0,0
winers1_05,3,0,1,0
winers2_05,1,1,1,1
